data__id,data__name,data__league_id,data__is_current_season,data__current_round_id,data__current_stage_id,data__fixtures__data__id,data__fixtures__data__league_id,data__fixtures__data__season_id,data__fixtures__data__stage_id,data__fixtures__data__round_id,,,data__fixtures__data__venue_id,data__fixtures__data__referee_id,data__fixtures__data__localteam_id,data__fixtures__data__visitorteam_id,data__fixtures__data__winner_team_id,data__fixtures__data__weather_report,data__fixtures__data__weather_report__code,data__fixtures__data__weather_report__type,data__fixtures__data__weather_report__icon,data__fixtures__data__weather_report__temperature__temp,data__fixtures__data__weather_report__temperature__unit,data__fixtures__data__weather_report__temperature_celcius__temp,data__fixtures__data__weather_report__temperature_celcius__unit,data__fixtures__data__weather_report__clouds,data__fixtures__data__weather_report__humidity,data__fixtures__data__weather_report__pressure,data__fixtures__data__weather_report__wind__speed,data__fixtures__data__weather_report__wind__degree,data__fixtures__data__weather_report__coordinates__lat,data__fixtures__data__weather_report__coordinates__lon,data__fixtures__data__weather_report__updated_at,data__fixtures__data__commentaries,data__fixtures__data__attendance,data__fixtures__data__pitch,data__fixtures__data__details,data__fixtures__data__neutral_venue,data__fixtures__data__winning_odds_calculated,data__fixtures__data__formations__localteam_formation,data__fixtures__data__formations__visitorteam_formation,data__fixtures__data__scores__localteam_score,data__fixtures__data__scores__visitorteam_score,data__fixtures__data__scores__localteam_pen_score,data__fixtures__data__scores__visitorteam_pen_score,data__fixtures__data__scores__ht_score,data__fixtures__data__scores__ft_score,data__fixtures__data__scores__et_score,data__fixtures__data__scores__ps_score,data__fixtures__data__time__status,data__fixtures__data__time__starting_at__date_time,data__fixtures__data__time__starting_at__date,data__fixtures__data__time__starting_at__time,data__fixtures__data__time__starting_at__timestamp,data__fixtures__data__time__starting_at__timezone,data__fixtures__data__time__minute,data__fixtures__data__time__second,data__fixtures__data__time__added_time,data__fixtures__data__time__extra_minute,data__fixtures__data__time__injury_time,data__fixtures__data__coaches__localteam_coach_id,data__fixtures__data__coaches__visitorteam_coach_id,data__fixtures__data__standings__localteam_position,data__fixtures__data__standings__visitorteam_position,data__fixtures__data__assistants__first_assistant_id,data__fixtures__data__assistants__second_assistant_id,data__fixtures__data__assistants__fourth_official_id,data__fixtures__data__leg,data__fixtures__data__colors,data__fixtures__data__colors__|,data__fixtures__data__colors__|__color,data__fixtures__data__colors__|__kit_colors,data__fixtures__data__deleted,,
,,,,,,11867236,8,16036,77443862,169653,,,204,15241,19,27,19,,clouds,scattered clouds,https://cdn.sportmonks.com/images/weather/03d.png,69.93,fahrenheit,21.1,celcius,40%,56%,1004,13.87 m/s,240,51.51,-0.13,2019-08-17T13:30:09.390704Z,TRUE,60214,null,null,FALSE,TRUE,4-2-3-1,04/04/2002,2,1,null,null,01-Jan,02-Jan,null,null,FT,17/08/2019 11:30,17/08/2019,11:30:00,1566041400,UTC,90,null,4,null,null,455907,455461,7,4,33340,14665,14814,01-Jan,,localteam,#C40010,"#F0F0F0,#C40010,#C40010,#F0F0F0,#999999,#888888,#F0F0F0",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#0C7662,"#0C7662,#0C7662,#262626,#262626,#C40010,#0046A8,#262626",,,
,,,,,,11867237,8,16036,77443862,169653,,,5,15269,15,52,52,,clouds,few clouds,https://cdn.sportmonks.com/images/weather/02d.png,89.62,fahrenheit,32,celcius,20%,40%,1018,3.36 m/s,null,33.52,-86.8,2019-08-17T15:45:07.331253Z,TRUE,40996,null,null,FALSE,TRUE,04/03/2003,4-4-1-1,1,2,null,null,0-2,01-Feb,null,null,FT,17/08/2019 14:00,17/08/2019,14:00:00,1566050400,UTC,90,null,null,null,null,524237,523911,15,8,12026,12715,14805,01-Jan,,localteam,#940014,"#79ADE2,#832034,#832034,#832034,#0A0A0A,#888888,#F0F0F0",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#ABD422,"#ABD422,#ABD422,#D8487E,#D8487E,#C40010,#0046A8,#022857",,,
,,,,,,11867238,8,16036,77443862,169653,,,480,14532,78,1,null,,clouds,few clouds,https://cdn.sportmonks.com/images/weather/02d.png,68.29,fahrenheit,20.2,celcius,20%,77%,1006,19.46 m/s,230,50.86,-0.08,2019-08-17T15:45:07.326162Z,TRUE,30459,null,null,FALSE,TRUE,03/04/2003,4-1-4-1,1,1,null,null,0-0,01-Jan,null,null,FT,17/08/2019 14:00,17/08/2019,14:00:00,1566050400,UTC,90,null,null,null,null,452683,523898,3,20,12794,12798,15763,01-Jan,,localteam,#002B87,"#002B87,#F0F0F0,#5B0623,#0A0A0A,#5C8FAE,#FFDF1B,#002B87",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#832034,"#C0D6FE,#C0D6FE,#832034,#832034,#999999,#888888,#832034",,,
,,,,,,11867239,8,16036,77443862,169653,,,321614,14659,18,42,null,,clouds,broken clouds,https://cdn.sportmonks.com/images/weather/04d.png,66.36,fahrenheit,19.1,celcius,75%,49%,1006,12.75 m/s,230,51.51,-0.13,2019-08-18T17:15:02.889269Z,TRUE,40629,null,null,FALSE,TRUE,04/03/2003,4-1-4-1,1,1,null,null,1-0,01-Jan,null,null,FT,18/08/2019 15:30,18/08/2019,15:30:00,1566142200,UTC,90,null,null,null,null,95,896460,19,13,12090,12799,13529,01-Jan,,localteam,#1544B8,"#1544B8,#1544B8,#183690,#183690,#183690,#183690,#1544B8",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#E996BC,"#E996BC,#E996BC,#C40010,#00C1BA,#C40010,#0046A8,#0A0A0A",,,
,,,,,,11867240,8,16036,77443862,169653,,,12,15270,13,25,13,,clouds,scattered clouds,https://cdn.sportmonks.com/images/weather/03d.png,66.72,fahrenheit,19.3,celcius,40%,60%,1002,14.99 m/s,220,53.41,-2.98,2019-08-17T15:45:07.303443Z,TRUE,39066,null,null,FALSE,TRUE,4-2-3-1,4-2-2-2,1,0,null,null,1-0,1-0,null,null,FT,17/08/2019 14:00,17/08/2019,14:00:00,1566050400,UTC,90,null,null,null,null,455424,523894,10,18,12019,12018,13568,01-Jan,,localteam,#0046A8,"#0046A8,#0046A8,#0046A8,#0046FF,#0E388C,#0E388C,#F0F0F0",FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visitorteam,#FBED32,"#FBED32,#0A0A0A,#FFDF1B,#FFDF1B,#5C8FAE,#FFDF1B,#0A0A0A",,,
